PUName,ID,DisplayID
Gray,1,1
White,2,2
None,3,3
AG,4,4
CALC,5,5
CGa,6,6
CGp,7,7
CN,8,8
CO,9,9
F1,10,10
F2,11,11
F3o,12,12
F3t,13,13
FMC,14,14
FO,15,15
FOC,16,16
FP,17,17
H,18,18
aINS,19,19
pINS,20,20
JPL,21,21
LG,22,22
OF,23,23
OLi,24,24
OLs,25,25
OP,26,26
PAC,27,27
PCN,28,28
PHa,29,29
PHp,30,30
PO,31,31
POG,32,32
PP,33,33
PRG,34,34
PT,35,35
SC,36,36
SCLC,37,37
SGa,38,38
SGp,39,39
SPL,40,40
T1a,41,41
T2a,42,42
T3a,43,43
T1p,44,44
T2p,45,45
T3p,46,46
TFa,47,47
TFp,48,48
TO2,49,49
TO3,50,50
TOF,51,51
TP,52,52
CGPC,53,53
BASFB,54,54
